category;question;rag_answer
Direct;How many points does the race winner receive in the current Formula 1 scoring system?;The race winner receives 25 points.
Direct;Who has been responsible for supplying the Formula 1 safety car since 1995?;Mercedes has been responsible for supplying the Formula 1 safety car since 1995.
Descriptive;What does a yellow flag with red stripes indicate in Formula 1?;The yellow flag with red stripes, also known as the striped flag, indicates the existence on the track of an element that causes a reduction in grip. It can be shown due to oil residues or the presence of car fragments on the track, or in areas where the track is dry and beginning to rain. Drivers should reduce their speed at that point.
Descriptive;What was the greatest technological advance introduced by Lotus in 1962?;In 1962, Lotus introduced an aluminium monocoque chassis instead of the traditional tubular frame, which proved to be the greatest technological advance since the introduction of rear-engined cars.
Descriptive;What is the function of the virtual safety car in Formula 1?;The virtual safety car is used to neutralise the race in cases where it is necessary to show a double yellow flag in some area of the track due to the existence of a risk for competitors or track marshals, without the incident requiring the appearance of the safety car. Drivers must respect a minimum time established by the FIA at each control post and must not lap unnecessarily slowly, erratically, or in a potentially dangerous way.
Comparative;How many points did first place receive in the 1950-1959 scoring system compared to the current system?;In the 1950-1959 scoring system, first place received 8 points, whereas the current system awards 25 points to the race winner.
Comparative;How did the number of Grand Prix races change from the early championships to the 2022 season?;In the early eras, championships averaged around 10-11 Grand Prix, rising to around 13-15 in the 1980s and 1990s. By the 2022 season, the number reached 22 Grand Prix. The championships were previously shorter, and the number of Grand Prix has progressively increased over time.
Comparative;How did the engine regulations change in 2014 compared to the previous era?;In 2014, Formula 1 replaced V8 engines with turbocharged 1.6-litre V6 units and introduced a hybrid power unit with an energy recovery system.
Reasoning;Which driver and team dominated Formula 1 the longest consecutive period and during which years?;Michael Schumacher and Ferrari dominated from 2000 to 2004, winning five consecutive drivers championships and six constructors championships between 1999 and 2004.
Reasoning;What was the combined impact of the 2017 regulatory changes on Formula 1 cars?;The 2017 regulatory change improved aerodynamic downforce, resulting in single-seaters becoming the fastest in history.
