question;rag_answer
¿Qué establece el Real Decreto-ley 9/2026 y a quién afecta?;El Real Decreto-ley 9/2026 establece:   - **Dos regímenes de ayudas** para empresas de transporte por carretera:     1. **Ayuda extraordinaria** para empresas que tienen derecho a devolución parcial del Impuesto sobre Hidrocarburos por gasóleo profesional (afecta a titulares de vehículos mencionados en art. 52 bis de la Ley 38/1992).     2. **Otro régimen de ayudas** para empresas no beneficiadas por la devolución mencionada.   - **Aumento del 30%** en costes de actividades relacionadas con productos energéticos.   - **Entrada en vigor**: 15 de abril de 2026 (día siguiente a su publicación en el BOE).
¿Cuál es el objetivo principal de esta norma?;El objetivo principal es garantizar una respuesta inmediata y automática ante la volatilidad energética mediante la revisión permanente del precio del transporte por carretera en función del combustible, asegurando la viabilidad económica del sector y evitando desequilibrios en los contratos.
¿La revisión del precio por combustible es ahora obligatoria?;Sí. La revisión del precio del transporte por variaciones del combustible es obligatoria, según se establece en la Ley 15/2009, modificada por el presente texto. La variación se refleja obligatoriamente en la factura de manera desglosada, suprimiéndose la posibilidad de alternativas contractuales para su ajuste.
¿Cuándo se aplica la revisión del precio del transporte?;La revisión del precio del transporte se aplica automáticamente cuando ocurren variaciones significativas del precio del combustible, según la fórmula actualizada establecida en el texto. Este mecanismo se activa en respuesta a cambios en el precio del gasóleo, permitiendo una ajuste inmediato sin necesidad de acudir a medidas regulatorias específicas. La aplicación es obligatoria y se refleja desglosadamente en la factura.
¿Ha cambiado la forma de calcular el ajuste por combustible?;Sí. La fórmula de revisión del precio del transporte se ha actualizado para:   - **Incluir una variable dinámica** basada en el precio del gasóleo antes de impuestos.   - **Establecer tablas de ajustes** según tipo de vehículo (ver tabla en fuente 15).   - **Automatizar la revisión** sin necesidad de acudir a medidas regulatorias específicas.   - **Reflejar obligatoriamente** el ajuste en la factura desglosada.    Reemplaza a la fórmula original de la Orden FOM/1882/2012.
¿Es obligatorio desglosar en la factura la variación del precio del combustible?;Sí, es obligatorio desglosar en la factura la variación del precio del combustible. Según el artículo 141.31, cuando el precio del transporte sea igual o inferior a 3.000 euros, la variación debe reflejarse de manera desglosada en la factura, suprimiendo la posibilidad de alternativas de presentación.
¿Qué ocurre si ese ajuste no aparece correctamente desglosado en la factura?;Si el ajuste no aparece correctamente desglosado en la factura, **no se aplica la sanción** prevista en el artículo 141.31, ya que esta disposición solo se activa cuando el cargador o el obligado al pago **opone** la factura con el ajuste desglosado, rechazándola o solicitando su modificación. Si no hay tal oposición, no se considera infracción bajo este régimen.
¿Cuándo puede la Administración sancionar al cargador?;La Administración puede sancionar al cargador cuando se cometa una infracción tipificada en los artículos 141 y 142, según las siguientes condiciones:   - **Multa de 100–200 €**: infracciones en puntos 13–18 del artículo 142.   - **Multa de 201–300 €**: infracciones en puntos 8–12 del artículo 142.   - **Multa de 301–400 €**: infracciones en puntos 1–7 del artículo 142.   - **Multa de 401–600 €**: infracciones en puntos 17–24 y 30 del artículo 141, y en 26–31 si el precio del transporte es <1.000 €.   - **Multa de 601–800 €**: infracciones en puntos 8–12 y 26–31 si el precio está entre 1.000–1.500 €.    **Condiciones adicionales**:   - El precio del transporte debe ser ≥3.000 € para aplicar el apartado 31 del artículo 141.   - La sanción depende de la repercusión social, intencionalidad, perjuicios, magnitud del beneficio ilícito y reincidencia.    **Entrada en vigor**: 15 de abril de 2026 (fecha de publicación en el BOE).
¿De qué depende la cuantía de la sanción?;La cuantía de la sanción depende de:   - **Infracción específica**:     - Para infracciones reseñadas en el apartado i) (excepto artículo 140.43): 6.001–18.000 €.     - Para infracciones del apartado g) ya sancionadas previamente: 2.001–6.000 €.   - **Condiciones adicionales**:     - Si la infracción está en el artículo 140.40 y afecta significativamente la solvencia del acreedor, la multa puede ascender a 30.000 €.     - Si el plazo de pago se supera en más de 120 días, la multa se ajusta según el artículo 140.40.   - **Antecedentes penales**:     - Si el responsable fue sancionado por otra infracción muy grave en los 12 meses anteriores.
¿Cuáles son las sanciones si el transporte es igual o inferior a 3.000 €?;Las sanciones para transportes con precio igual o inferior a 3.000 € son multas de 801 a 1.000 euros, según el apartado f).
¿Cuáles son las sanciones si el transporte supera los 3000 €?;Las sanciones para infracciones relacionadas con el transporte cuando el precio supera los 3.000 € son:   - **1.001 a 2.000 €** para las infracciones previstas en los puntos 40 y 43 del artículo 140, cuando el precio esté comprendido entre **3.001 a 4.000 €**.   - **2.001 a 4.000 €** para las infracciones previstas en los puntos 16, 17, 18, 19, 20, 21, 22, 23, 37.10, 37.11 y 42 del artículo 140, cuando el precio esté comprendido entre **4.001 a 6.000 €**.   - **4.001 a 6.000 €** para las infracciones previstas en los puntos 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 37.1, 37.2 y 41 del artículo 140, cuando el precio sea **superior a 6.000 €**.
¿Qué ocurre si hay reincidencia?;Si hay reincidencia, las multas se incrementan según la gravedad de la infracción y la antecedente sanción:   - **Infracciones en artículo 140.43**: 4.001–18.000 € si ya hubo una sanción en los 12 meses anteriores.   - **Infracciones en artículo 140.40**: Pueden ascender a 30.000 € si afectan significativamente la solvencia del acreedor o se vencen más de 120 días.
