category;question;rag_answer
Direct;How many points does the race winner receive in the current Formula 1 scoring system?;25.
Direct;Who has been responsible for supplying the Formula 1 safety car since 1995?;Mercedes has been responsible for supplying the Formula 1 safety car since 1995, with some exceptions.
Descriptive;What does a yellow flag with red stripes indicate in Formula 1?;"A yellow flag with red stripes indicates the existence on the track of an element that causes a reduction in grip. It can be shown due to oil residues or the presence of car fragments on the track; it is also shown in those areas of the circuit where the track is dry and it is beginning to rain."
Descriptive;What was the greatest technological advance introduced by Lotus in 1962?;An aluminium monocoque chassis.
Descriptive;What is the function of the virtual safety car in Formula 1?;"The virtual safety car is used to neutralise the race when a double yellow flag is shown due to an existing risk for competitors or track marshals. It allows drivers to slow down and prepare for potential hazards, without having to stop the entire race. The VSC procedure is initiated by Race Control, and during this time, luminous panels around the circuit display the letters ""VSC"" and teams are notified."
Comparative;How many points did first place receive in the 1950-1959 scoring system compared to the current system?;In the 1950-1959 scoring system, first place received 8 points. In contrast, the current system awards 25 points for first place.
Comparative;How did the number of Grand Prix races change from the early championships to the 2022 season?;The number of Grand Prix events has progressively increased over time. In the early eras, championships averaged around 10-11 Grand Prix. In the 1980s and 1990s, the number of Grand Prix was around 13-15. The competition in the 2022 season had 22 Grand Prix, an increase from previous seasons.
Comparative;How did the engine regulations change in 2014 compared to the previous era?;In 2014, Formula 1 engines were replaced with turbocharged 1.6-litre V6 units, featuring a hybrid power unit with an energy recovery system.
Reasoning;Which driver and team dominated Formula 1 the longest consecutive period and during which years?;McLaren and Williams dominated Formula 1 for a long period of time. McLaren won sixteen championships during that period — seven constructors and nine drivers titles — while Williams used Ford, Honda and Renault engines to also win sixteen titles — nine constructors and seven drivers.
Reasoning;What was the combined impact of the 2017 regulatory changes on Formula 1 cars?;The 2017 regulatory change improved aerodynamic downforce, resulting in single-seaters becoming the fastest in history.
